# 2026 Vegas-based season player projections (stat lines from firstdown.studio/season-rankings, pulled 2026-07-12).
# blend_vegas.py runs these through custom scoring and blends 50/50 into total_points. Update as lines move.
# QB interceptions not provided by source -> 0 (minor; blend with FP tempers it).
name,position,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td
Josh Allen,QB,3625,24.7,500,10.6,0,0,0
Joe Burrow,QB,3941,32.9,138,0,0,0,0
Drake Maye,QB,3750,25.4,412,0,0,0,0
Jalen Hurts,QB,3208,22.2,400,8.7,0,0,0
Trevor Lawrence,QB,3750,25.2,339,0,0,0,0
Lamar Jackson,QB,3233,24.2,566,3.8,0,0,0
Jayden Daniels,QB,3316,21.7,562,4.4,0,0,0
Caleb Williams,QB,3625,24.2,373,0,0,0,0
Justin Herbert,QB,3616,24.9,300,0,0,0,0
Patrick Mahomes,QB,3773,28,227,0,0,0,0
Jahmyr Gibbs,RB,0,0,1250,12.2,60,445,3.7
Bijan Robinson,RB,0,0,1175,8.8,64,575,3.5
Christian McCaffrey,RB,0,0,1025,8.6,70,562,4.4
Jonathan Taylor,RB,0,0,1250,11.6,36,278,1
James Cook,RB,0,0,1250,10.5,31,268,2
Derrick Henry,RB,0,0,1275,12.6,15,121,1
Ashton Jeanty,RB,0,0,1025,7.6,50,350,2
Omarion Hampton,RB,0,0,925,7.9,48,364,2
Saquon Barkley,RB,0,0,1100,7.4,35,250,2
De'Von Achane,RB,0,0,991,5.3,56,400,2
Chase Brown,RB,0,0,841,6.2,57,417,3
Kyren Williams,RB,0,0,987,10,32,219,2
Jeremiyah Love,RB,0,0,900,6,53,397,2
Javonte Williams,RB,0,0,915,9.7,37,239,1
Kenneth Walker,RB,0,0,925,7.6,37,272,2
Josh Jacobs,RB,0,0,1000,8,33,258,1
Breece Hall,RB,0,0,912,5.4,38,325,2
Cam Skattebo,RB,0,0,812,6.3,42,275,1
D'Andre Swift,RB,0,0,800,6.8,36,276,1
Travis Etienne,RB,0,0,808,5.3,36,287,2
Quinshon Judkins,RB,0,0,900,6.1,32,228,1
David Montgomery,RB,0,0,775,7.8,32,236,1
Bucky Irving,RB,0,0,800,5.2,36,271,2
TreVeyon Henderson,RB,0,0,708,6.2,35,260,1
Bhayshul Tuten,RB,0,0,725,5.6,32,234,1
Rico Dowdle,RB,0,0,750,4.4,36,260,1
Tony Pollard,RB,0,0,800,5.3,28,187,1
Chuba Hubbard,RB,0,0,812,4.5,30,201,1
Jadarian Price,RB,0,0,750,6.7,19,138,1
Rhamondre Stevenson,RB,0,0,616,6.2,29,214,1
Jaylen Warren,RB,0,0,600,5,36,267,1
J.K. Dobbins,RB,0,0,675,5.1,26,190,1
Aaron Jones,RB,0,0,600,3,38,276,1
Kenneth Gainwell,RB,0,0,418,3,47,355,2
RJ Harvey,RB,0,0,515,3,37,276,2
Chris Rodriguez,RB,0,0,728,6,15,107,0
Kyle Monangai,RB,0,0,633,4.8,23,165,1
Jordan Mason,RB,0,0,637,4.8,20,140,1
Blake Corum,RB,0,0,650,5.7,15,106,0
Jacory Croskey-Merritt,RB,0,0,541,5,19,135,1
Rachaad White,RB,0,0,446,3,32,241,1
Tyrone Tracy,RB,0,0,528,3,21,155,1
Tyjae Spears,RB,0,0,388,2,35,248,1
Keaton Mitchell,RB,0,0,435,3,18,134,1
Isiah Pacheco,RB,0,0,500,4.5,10,73,0
Dylan Sampson,RB,0,0,321,2,23,176,1
Woody Marks,RB,0,0,351,2,19,137,1
Tyler Allgeier,RB,0,0,421,3,8,57,0
Ja'Marr Chase,WR,0,0,0,0,109,1325,9.8
Puka Nacua,WR,0,0,0,0,107,1325,8.4
Amon-Ra St. Brown,WR,0,0,0,0,106,1250,9.7
Jaxon Smith-Njigba,WR,0,0,0,0,99,1325,8.4
CeeDee Lamb,WR,0,0,0,0,96,1200,7.7
Drake London,WR,0,0,0,0,90,1150,7.2
Justin Jefferson,WR,0,0,0,0,90,1150,7
A.J. Brown,WR,0,0,0,0,80,1108,7
Nico Collins,WR,0,0,0,0,80,1075,6.4
Rashee Rice,WR,0,0,0,0,89,976,7
George Pickens,WR,0,0,0,0,80,987,7.2
Malik Nabers,WR,0,0,0,0,76,1000,7
Chris Olave,WR,0,0,0,0,80,1008,6
DeVonta Smith,WR,0,0,0,0,78,1000,5.5
Garrett Wilson,WR,0,0,0,0,86,991,4.7
Zay Flowers,WR,0,0,0,0,81,975,5.5
Tetairoa McMillan,WR,0,0,0,0,74,933,6.6
Emeka Egbuka,WR,0,0,0,0,75,908,6.4
Tee Higgins,WR,0,0,0,0,71,875,7.5
Davante Adams,WR,0,0,0,0,61,791,9.7
Mike Evans,WR,0,0,0,0,66,925,6.7
Terry McLaurin,WR,0,0,0,0,75,933,5.4
Ladd McConkey,WR,0,0,0,0,77,875,5.7
Jameson Williams,WR,0,0,0,0,60,900,5.7
Jaylen Waddle,WR,0,0,0,0,70,875,5.7
Alec Pierce,WR,0,0,0,0,57,950,5.5
Rome Odunze,WR,0,0,0,0,62,791,6.8
Luther Burden,WR,0,0,0,0,72,816,4.6
DK Metcalf,WR,0,0,0,0,62,825,5.8
Courtland Sutton,WR,0,0,0,0,56,775,7.2
DJ Moore,WR,0,0,0,0,63,775,6.2
Christian Watson,WR,0,0,0,0,57,758,6.2
Marvin Harrison,WR,0,0,0,0,60,825,5
Carnell Tate,WR,0,0,0,0,71,783,4.4
Parker Washington,WR,0,0,0,0,65,750,4.6
Jordyn Tyson,WR,0,0,0,0,66,766,4.5
Stefon Diggs,WR,0,0,0,0,65,746,5
Jakobi Meyers,WR,0,0,0,0,64,712,5.3
Josh Downs,WR,0,0,0,0,67,787,4
Michael Pittman,WR,0,0,0,0,68,750,4.2
Brian Thomas Jr.,WR,0,0,0,0,62,700,4.5
Michael Wilson,WR,0,0,0,0,59,700,5
Chris Godwin,WR,0,0,0,0,68,662,4.8
Wan'Dale Robinson,WR,0,0,0,0,66,700,4
Ricky Pearsall,WR,0,0,0,0,57,675,5
Xavier Worthy,WR,0,0,0,0,55,625,4.1
Jayden Reed,WR,0,0,0,0,58,637,5
Quentin Johnston,WR,0,0,0,0,58,637,5.6
Makai Lemon,WR,0,0,0,0,60,650,5
Matthew Golden,WR,0,0,0,0,53,637,5
Khalil Shakir,WR,0,0,0,0,69,650,4
Jordan Addison,WR,0,0,0,0,58,650,4.6
Jalen Coker,WR,0,0,0,0,59,612,5
Romeo Doubs,WR,0,0,0,0,57,612,4.6
Jayden Higgins,WR,0,0,0,0,57,575,5
K.C. Concepcion,WR,0,0,0,0,58,608,4
Jalen Nailor,WR,0,0,0,0,50,650,4
Jalen McMillan,WR,0,0,0,0,46,591,4
Brandon Aiyuk,WR,0,0,0,0,45,591,4
Deebo Samuel,WR,0,0,0,0,42,472,4
Jerry Jeudy,WR,0,0,0,0,43,612,3
Jauan Jennings,WR,0,0,0,0,43,541,4
Calvin Ridley,WR,0,0,0,0,27,600,3.4
Tre' Harris,WR,0,0,0,0,39,493,4
Keenan Allen,WR,0,0,0,0,38,390,3
Cooper Kupp,WR,0,0,0,0,32,364,3
Travis Hunter,WR,0,0,0,0,35,415,3
Rashod Bateman,WR,0,0,0,0,28,450,3
Darius Slayton,WR,0,0,0,0,28,406,3
Adonai Mitchell,WR,0,0,0,0,35,443,3
Tank Dell,WR,0,0,0,0,33,439,3
Trey McBride,TE,0,0,0,0,99,991,6.5
Brock Bowers,TE,0,0,0,0,93,875,7.3
Colston Loveland,TE,0,0,0,0,80,783,5.2
Tyler Warren,TE,0,0,0,0,80,741,4.6
Harold Fannin,TE,0,0,0,0,74,675,5
Travis Kelce,TE,0,0,0,0,67,700,4.7
Kyle Pitts,TE,0,0,0,0,66,762,3.6
Sam LaPorta,TE,0,0,0,0,74,630,4.8
George Kittle,TE,0,0,0,0,59,675,5
Tucker Kraft,TE,0,0,0,0,67,637,4.7
Oronde Gadsden,TE,0,0,0,0,57,636,5
Isaiah Likely,TE,0,0,0,0,59,625,3.5
Mark Andrews,TE,0,0,0,0,57,500,5.6
AJ Barner,TE,0,0,0,0,58,530,4
Dallas Goedert,TE,0,0,0,0,53,575,4.8
Jake Ferguson,TE,0,0,0,0,70,500,4.6
Brenton Strange,TE,0,0,0,0,60,490,5
Dalton Kincaid,TE,0,0,0,0,63,542,3.7
Juwan Johnson,TE,0,0,0,0,54,550,4
Hunter Henry,TE,0,0,0,0,55,500,4.2
Dalton Schultz,TE,0,0,0,0,55,500,4
Chig Okonkwo,TE,0,0,0,0,61,475,4
T.J. Hockenson,TE,0,0,0,0,57,500,3
Pat Freiermuth,TE,0,0,0,0,51,450,4
Cade Otton,TE,0,0,0,0,56,425,3
Mike Gesicki,TE,0,0,0,0,42,449,3
Darnell Washington,TE,0,0,0,0,35,359,3
